ASV,Kingdom,Phylum,Class,Order,Family,Genus
53c73e5a17255364616df5018eaa2ec6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
efa04329d3f95f7c2ac86cb02d436c5f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
607c12bbc7425ee8413884ba009695b9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
d7bcfc171a8c581518235d9666f368c7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
7a9485e41f61151aab6452494fcc9b8e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
0e33f43ae06f11e9c0d12e05434edc93,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
adcedf56a5798ef848b8dbd6c50a2d81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
cc382ee5c260ec6ef202a1c1eae7511b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
bc73faf967457d44df0d9b84b9281ef8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
ae7d0d0a92a606ecd7b08a5409ce2d08,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
9c886c0f8cc56e034e1095b1664da6a7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
d4909a8f626c6ccaf40d3e765bab1b05,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
71379a31fceee846cb33fdb33ba8eec6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
3b67f05209ef09e68cd5709000e20fea,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
93a582d7dfeac731a6a3a1e105cc9886,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
38a20f761941258fb045d22fd7e34e30,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
0f215ab3bd1b28bcb9b53848b4854117,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
f0cee5bf9f31aab3cc96b065db5dabc6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
33389fc58b529af9ad44b7d9d7d4f06b,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
b2643167897e31b76d28f69e011383e0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
f3b59b666463396f04baa035438f4e74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
97cac4c0721253f47c60565e933365da,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
b1933f67464b18a193ad11e8b04c69d2,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
8b82d6045553bd9be9ebcec38231b346,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
